SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NEWCB,COLORS,NOTE,
1,WR,R,183161039,SOSP,5810,2,S,J,U,9,9,1,0,0,1,1,0,1,0,64,18.9,300,9/8/11,83,BLCA,8,F,,,, 
0,WR,R,244030125,ORJU,5671,3,A,9,F,A,9,9,9,9,9,9,9,9,9,999,999.9,300,9/8/11,100,BLCA,4,F,,,,
1,WR,R,183161034,SOSP,5810,2,J,9,U,9,9,9,9,9,9,9,9,9,9,999,999.9,300,9/8/11,113,BLCA,1,F,,,,
0,JB,R,244030205,OCWA,6460,2,S,9,M,H,9,3,0,0,4,0,0,1,0,59,10.4,300,9/15/11,80,BLCA,6,F,,,,
1,WR,R,183161046,SOSP,5810,U,9,9,U,9,9,9,9,9,9,9,9,9,9,999,19.5,300,9/15/11,100,BLCA,3,F,,,,
0,JB,R,244030210,DUFL,4690,2,S,J,U,9,9,3,0,0,0,0,0,2,0,65,11.2,300,9/15/11,95,BLCA,7,F,,,,
1,JB,R,183161041,SOSP,5810,2,S,9,U,9,9,2,0,0,0,2,0,1,0,63,22,300,9/15/11,103,BLCA,3,F,,,,
1,JB,R,183161048,SOSP,5810,2,S,9,U,9,9,2,0,0,0,0,0,1,0,64,17.2,300,9/15/11,112,BLCA,1,F,,,,
1,WR,R,183161042,SOSP,5810,U,9,9,U,9,9,9,0,0,2,3,0,1,0,66,21.2,300,9/22/11,93,BLCA,7,F,,,,
1,WR,R,183161060,SOSP,5810,2,S,9,U,9,9,3,0,0,1,0,0,1,0,62,18.8,300,9/22/11,93,BLCA,1,F,,,,
1,WR,R,183161039,SOSP,5810,2,S,J,U,9,9,2,0,0,2,1,0,1,0,63,19.9,300,9/22/11,100,BLCA,4,F,,,,
1,WR,R,244030227,ORJU,5671,2,J,9,U,9,9,9,0,0,1,2,0,1,0,75,18.9,300,9/29/11,85,BLCA,7,F,,,,
