SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,TIME,LOC,SITE,NOTE?,NOTE
3,WR,N,105301115,STJA,4780,3,I,A,U,9,9,9,0,0,1,0,0,2,0,145,137.1,300,6/7/13,82,COCA,6,T,SY by no BP/CP?
3,WR,N,105301116,STJA,4780,3,I,A,U,9,9,9,0,0,1,0,0,2,1,139,139.6,300,6/7/13,85,COCA,2,T,SY by no BP/CP?
3,WR,N,105301117,STJA,4780,2,I,J,U,9,9,9,0,0,0,0,0,1,0,141,118.5,300,10/2/13,104,COEA,10,F,
3,WR,N,105301118,RSFL,4130,4,A,9,M,A,9,9,0,0,1,1,F,1,0,169,148.1,300,10/2/13,104,COEA,2,T,"replacing outmost 2 ppcovs and SS4&5, Alula looks fresh"
3,WR,N,105301119,STJA,4780,2,I,J,U,9,9,9,0,0,2,1,0,2,0,137,118.2,300,10/2/13,113,COEA,5,F,
3,WR,N,105301120,RSFL,4130,4,A,9,F,A,9,9,0,0,3,0,0,0,0,162,155.7,300,10/8/13,102,COCA,5,T,outermost 2 ppcovs and alula=fresh and recently replaced
1B,WR,N,115125901,GWCS,5550,2,J,9,U,9,9,9,0,0,2,0,0,1,0,999,24.4,300,9/20/13,93,BLCA,10,F,
1B,WR,N,115125902,GWCS,5550,2,J,9,U,9,9,9,0,0,2,0,0,1,0,74,23.2,300,9/20/13,93,BLCA,10,F,
1B,DG,N,115125903,RBSA,4030,2,J,9,U,9,9,9,0,0,0,2,0,0,0,123,44.5,300,9/23/13,94,BLCA,2,F,
1B,DG,N,115125904,GWCS,5550,2,A,9,U,9,9,9,0,0,1,0,0,0,0,84,32.1,300,9/23/13,94,BLCA,1,F,
1B,DG,N,115125905,GWCS,5550,2,J,S,U,9,9,2,0,0,1,0,0,1,0,76,25.1,300,9/23/13,94,BLCA,1,F,
1B,WR,N,115125906,GWCS,5550,2,J,S,U,9,9,9,0,0,2,0,0,1,0,70,21.3,300,9/23/13,94,BLCA,1,F,
1B,WR,N,115125907,GWCS,5550,2,S,9,U,9,9,9,0,0,3,0,0,2,0,76,999.9,300,9/27/13,105,BLCA,8,F,
1B,WR,N,115125908,GCSP,5570,2,S,J,U,9,9,2,0,0,3,0,0,1,0,77,26.7,300,10/1/13,101,POMA,9,F,
1B,WR,N,115125909,GWCS,5550,3,A,9,U,9,9,9,0,0,2,2,A,1,0,75,23,300,10/1/13,83,POMA,4,T,all rects ~ 50%
1B,WR,N,115125910,GWCS,5550,3,A,9,U,9,9,9,0,0,2,0,0,1,0,71,21.4,300,10/1/13,83,POMA,4,F,
1B,WR,N,115125911,GWCS,5550,3,A,9,U,9,9,6,0,0,3,0,0,1,0,74,25.9,300,10/1/13,93,POMA,1,F,
1B,WR,N,115125912,GWCS,5550,2,J,9,U,9,9,9,0,0,1,0,0,2,0,77,25.3,300,10/1/13,120,POMA,9,F,
1B,WR,N,115125913,GWCS,5550,2,J,9,U,9,9,9,9,9,4,9,9,9,9,78,32.4,300,10/2/13,83,COEA,5,F,
1B,WR,N,115125914,GWCS,5550,2,J,9,U,9,9,9,9,9,4,9,9,9,9,73,24.6,300,10/2/13,83,COEA,5,F,
1B,WR,N,115125915,GWCS,5550,2,J,9,F,W,9,9,9,9,5,9,9,9,9,70,27.2,300,10/2/13,83,COEA,5,F,
1B,WR,N,115125916,GWCS,5550,2,J,9,U,9,9,9,9,9,2,9,9,9,9,79,27.9,300,10/2/13,83,COEA,5,F,
1B,WR,N,115125917,GWCS,5550,2,J,9,U,9,9,9,9,9,1,9,9,9,9,72,25.3,300,10/2/13,83,COEA,5,F,
1B,WR,N,115125918,GWCS,5550,2,J,9,U,9,9,9,9,9,5,9,9,9,9,79,28.5,300,10/2/13,83,COEA,5,F,
1B,WR,N,115125919,GWCS,5550,2,J,9,U,9,9,9,0,0,1,0,0,1,0,74,23.1,300,10/2/13,100,COEA,4,F,
1B,WR,N,115125920,GWCS,5550,2,J,9,U,9,9,9,0,0,3,0,0,2,0,77,29.3,300,10/2/13,100,COEA,4,F,
1B,WR,L,115125921,,,,,,,,,,,,,,,,,,,0,,,,,,
1B,WR,N,115125922,GWCS,5550,2,J,9,U,9,9,9,0,0,4,0,0,1,0,72,26,300,10/2/13,103,COEA,10,F,
1B,WR,N,115125923,GWCS,5550,2,J,9,U,9,9,9,0,0,1,0,0,1,0,80,25,300,10/2/13,113,COEA,1,F,
1B,WR,N,115125924,GWCS,5550,3,A,9,U,9,9,9,0,0,5,0,0,1,0,76,30.7,300,10/2/13,115,COEA,1,F,
1B,WR,N,115125925,GWCS,5550,2,J,9,U,9,9,9,0,0,2,0,0,1,0,77,24.8,300,10/2/13,85,COCA,8,F,
1B,WR,N,115125926,GWCS,5550,2,J,9,U,9,9,9,0,0,4,0,0,2,0,74,27.3,300,10/3/13,90,COCA,9,F,
1B,WR,N,115125927,GWCS,5550,3,A,9,U,9,9,9,0,0,4,0,0,1,0,77,29.5,300,10/3/13,90,COCA,8,F,
1B,WR,N,115125928,GWCS,5550,2,J,9,U,9,9,9,0,0,3,0,0,1,0,77,29,300,10/3/13,95,COCA,8,F,
1B,WR,N,115125929,GWCS,5550,2,J,9,U,9,9,9,0,0,2,0,0,1,0,74,23.9,300,10/8/13,95,COCA,9,F,
1B,WR,N,115125930,GWCS,5550,3,A,9,U,9,9,9,0,0,5,0,0,1,0,77,34.5,300,10/8/13,95,COCA,9,F,
1B,WR,N,115125931,GWCS,5550,3,A,9,U,9,9,9,0,0,5,0,0,1,0,76,30.6,300,10/8/13,95,COCA,9,F,
1B,WR,N,115125932,GWCS,5550,3,A,9,U,9,9,9,0,0,4,0,0,1,0,78,28.6,300,10/8/13,95,COCA,9,F,
1B,WR,N,115125933,GWCS,5550,3,A,9,U,9,9,9,0,0,4,0,0,2,0,74,28.4,300,10/8/13,95,COCA,9,F,
1B,AG,N,115125934,GWCS,5550,3,A,9,U,9,9,9,0,0,3,0,0,1,0,78,27.8,300,10/8/13,121,COCA,9,F,
1B,AG,N,115125935,GWCS,5550,3,A,9,F,W,9,9,0,0,5,0,0,1,0,70,26.8,300,10/8/13,121,COCA,9,F,
1B,AG,N,115125936,GWCS,5550,3,A,9,F,W,9,9,0,0,3,0,0,2,0,77,24.5,300,10/8/13,121,COCA,9,F,
1B,WR,N,115125937,HETH,7590,2,S,J,U,9,9,2,0,0,1,0,0,1,0,86,22,300,10/10/13,83,COEA,4,F,
1B,WR,N,115125938,GWCS,5550,2,J,9,U,9,9,9,0,0,4,0,0,2,0,73,24.5,300,10/10/13,83,COEA,6,F,
1B,WR,N,115125939,GWCS,5550,2,J,9,U,9,9,9,0,0,4,0,0,2,0,74,24,300,10/10/13,90,COEA,2,F,
1B,WR,N,115125940,GWCS,5550,3,A,9,U,9,9,9,0,0,3,0,0,2,0,72,24.4,300,10/10/13,94,COEA,8,T,
1B,WR,N,115125941,GWCS,5550,2,J,9,U,9,9,9,0,0,3,0,0,2,0,73,23.8,300,10/10/13,94,COEA,6,F,
1B,WR,N,115125942,GWCS,5550,2,J,9,U,9,9,9,0,0,3,0,0,1,0,77,28.1,300,10/10/13,113,COEA,5,F,
1B,WR,N,115125943,GWCS,5550,2,J,9,U,9,9,9,0,0,3,0,0,2,0,76,26.2,300,10/10/13,123,COEA,3,F,
2,WR,N,120254847,AMRO,7610,5,A,R,M,A,C,6,0,3,1,0,0,1,0,132,109.5,300,6/7/13,72,COCA,5,F,
2,WR,N,120254848,AMRO,7610,5,A,R,M,A,C,6,0,3,1,0,0,1,0,137,104.3,300,6/7/13,80,COCA,7,F,
2,WR,N,120254849,AMRO,7610,5,A,R,M,A,C,6,0,3,1,0,0,2,2,130,110.8,300,6/7/13,82,COCA,5,F,
2,WR,N,120254850,AMRO,7610,3,S,B,F,A,B,6,3,0,2,0,0,2,1,126,98.6,300,6/7/13,103,COCA,5,F,
2,WR,N,120254851,AMRO,7610,3,S,B,F,A,B,6,3,0,1,0,0,2,0,122,100.3,300,6/19/13,73,COCA,5,F,
