SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,DAY,MONTH,YEAR,TIME,LOC,SITE,Comment,NOTE
3,WR,N,105301136,STJA,4780,3,A,R,U,9,9,9,0,0,1,0,0,1,0,149,108,300,9/22/16,,,,102,POMA,10,F,
3,WR,N,105301137,STJA,4780,3,A,I,U,9,9,9,0,0,1,0,0,1,0,146,999.9,300,9/22/16,,,,105,POMA,9,F,
3,WR,N,105301138,STJA,4780,3,A,I,U,9,9,9,0,0,1,0,0,1,0,138,109.2,300,9/22/16,,,,105,POMA,9,F,
3,WR,N,105301139,STJA,4780,2,J,I,U,9,9,9,0,0,1,2,0,1,0,139,113,300,9/22/16,,,,105,POMA,1,F,
3,WR,N,105301140,STJA,4780,2,J,I,U,9,9,9,0,0,1,2,F,1,0,140,104.4,300,9/22/16,,,,105,POMA,10,F,
3,WR,N,105301141,STJA,4780,2,I,9,U,9,9,9,0,0,1,2,0,1,0,143,115.3,300,9/29/16,,,,85,POMA,9,F,
3,WR,N,105301142,STJA,4780,3,I,9,U,9,9,9,0,0,0,0,0,1,0,141,108.2,300,10/6/16,,,,91,POMA,8,F,
3,WR,N,105301143,STJA,4780,2,I,9,U,9,9,9,0,0,1,0,0,1,0,135,94.4,300,10/6/16,,,,91,POMA,10,F,
3,WR,N,105301144,STJA,4780,2,I,9,U,9,9,9,0,0,9,0,0,2,0,144,999.9,300,10/12/16,,,,94,POMA,5,F,
3,WR,N,105301145,STJA,4780,2,I,9,U,9,9,9,0,0,0,1,0,2,0,144,114.4,300,10/12/16,,,,101,POMA,8,F,
3,WR,N,105301146,STJA,4780,2,I,9,U,9,9,9,0,0,1,0,0,1,0,131,83.9,300,10/12/16,,,,101,POMA,9,T,runt of the litter brood.  Female?
3,WR,N,105301147,STJA,4780,2,I,9,U,9,9,9,0,0,1,1,0,2,0,140,116.6,300,10/12/16,,,,101,POMA,7,F,
3,WR,N,105301148,STJA,4780,2,I,9,U,9,9,9,0,0,1,0,0,1,0,139,97.4,300,10/12/16,,,,130,POMA,8,F,
3,WR,N,105301149,STJA,4780,2,I,9,U,9,9,9,0,0,1,0,0,1,0,134,98.8,300,10/12/16,,,,130,POMA,8,F,
3,WR,N,105301150,STJA,4780,U,9,9,U,9,9,9,0,0,0,0,0,2,0,142,105.2,300,10/12/16,,,,130,POMA,8,F,
2,WR,N,120254863,AMRO,7610,3,A,C,M,A,C,6,0,3,0,0,0,3,1,133,87,300,5/31/16,,,,80,POMA,9,F,
1B,WR,N,130121535,WETA,6070,4,A,R,F,A,9,6,0,0,4,0,0,3,2,89,31.9,300,5/31/16,,,,104,POMA,10,F,
1B,WR,N,130121536,SWTH,7580,4,A,R,M,C,9,6,0,3,0,0,0,2,1,86,28.6,301,6/23/16,,,,91,WACA,4,T,"YW/WS, buffy cov tips"
1B,WR,N,130121537,RBSA,4030,3,A,B,U,9,9,9,1,0,1,0,0,2,1,122,43.8,300,6/23/16,,,,111,WACA,4,F,
1B,WR,N,130121538,SWTH,7580,3,A,B,F,B,9,9,2,0,3,0,0,1,0,92,33,301,6/24/16,,,,62,WACA,8,T,YY/RS
1B,WR,N,130121539,SWTH,7580,3,A,C,M,C,9,9,0,2,1,0,0,2,1,98,30.1,301,6/24/16,,,,65,WACA,6,T,YS/YB
1B,WR,N,130121540,SWTH,7580,3,A,C,M,C,9,9,0,3,0,0,0,1,0,97,28,301,6/29/16,,,,74,STCR,10,T,"RS/WW, 2 small buffy tips to covs; prob. SY"
1B,WR,N,130121541,SWTH,7580,3,A,C,M,C,9,9,0,3,1,0,0,1,0,98,27.8,301,6/29/16,,,,81,STCR,10,T,BS/WW
