SIZE,INITIALS,CODE,BANDNUM,SPEC,AOU,AGE,HA1,HA2,SEX,HS1,HS2,SKL,BRP,CLP,FAT,MLT,FFM,WWR,FDL,WING,WGHT,STAT,DATE,DAY,MONTH,YEAR,TIME,LOC,SITE,Comment,NOTE
0A,WR,L,267015385,,,,,,,,,9,,,9,,,,,,,0,,,,,,,,T,band lost
1A,WR,N,180123582,RWBL,4980,5,A,R,M,A,C,6,0,3,1,0,0,2,0,125,58.1,300,5/26/15,26,5,2015,80,POMA,3,F,
1A,WR,N,180123583,RWBL,4980,4,H,R,M,A,C,6,0,2,0,0,0,3,0,117,62.5,300,5/26/15,26,5,2015,80,POMA,3,F,
1A,WR,N,180123584,RWBL,4980,4,H,R,M,A,C,6,0,1,0,0,0,3,0,120,999.9,300,5/26/15,26,5,2015,80,POMA,3,T,"banded left leg; rt leg was a little limp at first, but definitely recovered during processing"
1B,WR,N,164119039,WETA,6070,4,A,H,M,A,9,6,0,0,2,0,0,4,2,95,39,300,5/26/15,26,5,2015,84,POMA,7,F,
0,WR,N,229061092,WEWP,4620,3,A,S,U,9,9,6,9,9,9,9,9,9,9,88,14.1,300,5/26/15,26,5,2015,85,POMA,4,F,
0,WR,N,229061093,DUFL,4690,3,S,A,U,9,9,6,9,9,9,9,9,9,9,66,10.6,300,5/26/15,26,5,2015,94,POMA,10,F,
3,WR,N,105301130,STJA,4780,3,A,B,F,B,9,9,1,0,1,0,0,3,1,134,111.4,300,5/26/15,26,5,2015,94,POMA,7,F,
1B,WR,N,164119040,WETA,6070,5,A,R,F,A,9,6,0,0,1,0,0,2,1,93,34.3,300,5/26/15,26,5,2015,100,POMA,4,F,
0,WR,N,229061094,MOCH,7380,3,C,A,M,C,9,6,9,9,9,9,9,9,9,67,11,300,5/26/15,26,5,2015,102,POMA,9,F,
0,WR,N,229061095,DUFL,4690,3,S,A,U,9,9,6,9,9,9,9,9,9,9,66,11.4,300,5/26/15,26,5,2015,111,POMA,10,F,
1B,WR,N,164119041,RBSA,4030,4,P,9,U,9,9,9,0,0,2,0,0,1,0,121,46.8,300,5/26/15,26,5,2015,111,POMA,9,F,
2,WR,N,120254861,AMRO,7610,5,A,R,M,A,C,6,0,2,9,9,9,9,9,999,999.9,300,5/26/15,26,5,2015,113,POMA,4,F,
1A,WR,N,180123585,BHGR,5960,5,A,R,M,A,C,6,0,2,0,0,0,2,0,101,42.3,300,5/26/15,26,5,2015,113,POMA,4,F,
1B,WR,N,164119042,ATFL,4540,3,S,A,U,9,9,6,0,0,2,1,0,2,1,91,24.6,300,5/26/15,26,5,2015,120,POMA,9,F,
2,WR,N,120254862,AMRO,7610,3,A,C,M,A,C,6,0,3,1,0,0,3,1,134,80,300,5/26/15,26,5,2015,999,POMA,999,F,
1B,WR,N,164119043,SWTH,7580,3,B,A,F,B,9,6,3,0,3,0,0,1,0,95,31.9,301,6/26/15,26,6,2015,102,WACA,5,T,"--/RS, GPS ID810, loaded weight = 32.9"
1B,WR,N,164119044,SWTH,7580,3,C,9,M,C,9,6,0,3,0,0,0,1,0,100,28.1,301,6/30/15,30,6,2015,110,WACA,5,T,"S/R, V009, 28.7"
1B,WR,N,164119045,SWTH,7580,3,C,9,M,C,9,6,0,3,0,0,0,1,1,97,28.7,301,7/2/15,2,7,2015,75,WACA,5,T,"R/S, V010, 29.7, in net with recap 951 from last year"
1B,WR,N,164119046,SWTH,7580,3,C,9,M,C,9,6,0,3,0,0,0,1,0,96,26.5,301,7/2/15,2,7,2015,82,WACA,6,T,"RS/B, V011, 27.3"
1B,WR,N,164119047,SWTH,7580,3,C,9,M,C,9,6,0,2,3,0,A,1,0,95,32.7,301,7/7/15,7,7,2015,84,WACA,8,T,"B/S, GPS ID848, left rects 1&2 growing in ~ 90%, 33.9"
